target_id	test_stat	pval	qval
YP_081530.1	15.1793495744618	9.77667579815603e-05	0.00841669520168401
YP_081547.1	15.0290239040048	0.000105870379895396	0.00841669520168401
YP_081552.1	14.0644068170814	0.000176655372457297	0.00936273474023674
YP_081551.1	12.4653534207486	0.000414570073502669	0.0164791604217311
YP_081577.1	11.8474954422521	0.000577389493276231	0.0176780827638727
YP_081489.1	11.5787506470706	0.000667097462787647	0.0176780827638727
YP_081574.1	11.0341336172115	0.000894494702797347	0.018779406038213
YP_081521.1	10.8637485389882	0.000980649966953317	0.018779406038213
YP_081576.1	10.714511405403	0.00106298524744602	0.018779406038213
YP_081490.1	10.2058327778214	0.0013999715910755	0.0222595482981004
YP_081522.1	9.39336357285332	0.00217772296177603	0.031477995538399
YP_081561.1	8.95071799498783	0.0027736055052364	0.0367502729443823
YP_081613.1	8.62847181982163	0.00330949087285038	0.0404776191371701
YP_081600.1	8.39486730593993	0.00376281979240885	0.042734881928072
YP_081520.1	8.24736528032804	0.00408111943506433	0.0432598660116819
YP_081533.1	8.03338764990763	0.00459228698952296	0.0456358519583844
YP_081601.1	7.86874282184583	0.00502966093930839	0.0470421229029432
YP_081595.1	7.68055224934831	0.00558190834135452	0.0493068570152982
